transaction_id,user_id,course_id,transaction_date,transaction_type,amount,payment_status,course_progress,completion_status
1,1,1,2026-01-05,Enrollment,499,Completed,100,Completed
2,1,3,2026-01-12,Enrollment,799,Completed,75,In Progress
3,2,5,2026-01-08,Enrollment,399,Completed,90,In Progress
4,2,6,2026-01-15,Enrollment,599,Completed,100,Completed
5,3,1,2026-01-10,Enrollment,499,Completed,45,In Progress
6,3,7,2026-01-18,Enrollment,699,Completed,30,In Progress
7,4,4,2026-01-03,Enrollment,999,Completed,100,Completed
8,4,10,2026-01-20,Enrollment,899,Completed,85,In Progress
9,5,6,2026-01-07,Enrollment,599,Completed,60,In Progress
10,5,8,2026-01-22,Enrollment,799,Completed,40,In Progress
11,6,3,2026-01-05,Enrollment,799,Completed,95,Completed
12,6,9,2026-01-14,Enrollment,499,Completed,100,Completed
13,7,1,2026-01-09,Enrollment,499,Completed,25,In Progress
14,7,19,2026-01-25,Enrollment,599,Pending,10,Not Started
15,8,5,2026-01-06,Enrollment,399,Completed,80,In Progress
16,8,17,2026-01-16,Enrollment,699,Completed,100,Completed
17,9,12,2026-01-11,Enrollment,599,Completed,70,In Progress
18,9,18,2026-01-21,Enrollment,699,Completed,55,In Progress
19,10,4,2026-01-02,Enrollment,999,Completed,100,Completed
20,10,15,2026-01-19,Enrollment,899,Completed,90,In Progress
21,1,9,2026-02-02,Enrollment,499,Completed,100,Completed
22,2,18,2026-02-05,Enrollment,699,Completed,65,In Progress
23,4,14,2026-02-08,Enrollment,899,Completed,75,In Progress
24,6,10,2026-02-10,Enrollment,899,Completed,80,In Progress
25,8,3,2026-02-12,Enrollment,799,Completed,95,In Progress
26,10,20,2026-02-15,Enrollment,799,Completed,70,In Progress
27,3,16,2026-02-17,Enrollment,399,Pending,20,Not Started
28,5,13,2026-02-20,Enrollment,599,Completed,50,In Progress
29,7,2,2026-02-22,Enrollment,699,Pending,0,Not Started
30,9,11,2026-02-25,Enrollment,499,Completed,85,In Progress
